name,phone_numbers,officialPhone,email,websites,officialWebsite,yearEstablished,facebookLink,twitterLink,linkedinLink,instagramLink,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,affiliationTypeIds,description,numberDoctors,capacity,specialties,procedure,equipment,capability,recency_of_page_update,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,number_of_facts_about_the_organization,post_metrics_most_recent_social_media_post_date,post_metrics_post_count,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
Asian Multi-specialty Hospital,"[""+918470981765""]",+918470981765,null,"[""https://www.facebook.com/109925218593529""]",null,null,https://www.facebook.com/109925218593529,null,null,null,"Khasra No. 14, 12/2, Old Delhi Gurgaon Rd","Near Bank Of Baroda, Samalka",null,New Delhi,Delhi,110037,India,IN,hospital,private,null,null,null,null,"[""internalMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,28.53227997,77.08920288
Asian Neuro Centre Indore,"[""+919111234539"",""+919111234529""]",+919111234529,info@asianneurocentre.com,"[""https://www.asianneurocentre.com/about-us/about-dr-navin-tiwari/"",""https://www.asianneurocentre.com/facilities/"",""https://www.indoreonline.in/business/proctocare-dr-sunil-kuril-61877"",""https://www.doctoriduniya.com/clinic/indore/shree-neuro-and-ent-clinic-indore"",""http://www.asianneurocentre.com/"",""https://www.skedoc.com/indore/doctor/dr-navin-tiwari-neurologist"",""asianneurocentre.com"",""https://www.facebook.com/864192243767892""]",asianneurocentre.com,null,https://www.facebook.com/864192243767892,null,null,null,401 Shanti Dazzle Building,"Near Agrawal Public School, Scheme 140, Road, Pipliyahana Square, Bicholi Mardana",Bicholi Mardana,Indore,Madhya Pradesh,452016,India,IN,clinic,private,null,Dr Navin Tiwari is director and consulting neurologist at Asian Neuro Centre Indore. This is a neurology clinic in Indore led by Dr Navin Tiwari.,null,null,"[""infectiousDiseases"",""neurotologyAndOtology"",""spineNeurosurgery"",""Multiple Sclerosis & Other Demyelinating Disorder"",""psychiatry"",""multipleSclerosisOtherDemyelinatingDisorder"",""painMedicinePMR"",""vertigo"",""spinalCordDisorders"",""pediatrics"",""spinalCordInjuryMedicine"",""neuroinfectiousDisorder"",""vascularNeurology"",""Traumatic Brain Injury"",""neurosurgery"",""neuroOphthalmology"",""epilepsyNeurology"",""neurology"",""neuromuscularMedicine"",""neuropsychiatry"",""cognitiveAndBehavioralNeurology"",""anesthesia"",""brainInjuryNeurology"",""clinicalNeurophysiology"",""familyMedicine"",""movementDisorders"",""muscleDisordersMyopathyNeuropathy"",""peripheralNerveNeurosurgery"",""physicalMedicineAndRehabilitation"",""tremor"",""headacheMedicine"",""interventionalRadiology""]","[""Video-EEG (VEEG) monitoring"",""Epley maneuver for positional vertigo"",""Neurology consultation services offered by Asian Neuro Centre, South Tukoganj"",""Trans-cranial Doppler study"",""Electroencephalography (EEG) testing"",""Nerve Conduction Studies (NCS)"",""Autonomic function tests"",""Botulinum toxin injection therapy""]","[""MRI imaging equipment (MRI scanner)""]","[""Headache and migraine treatment program"",""Vertigo program"",""Multiple sclerosis and other demyelinating disorders program"",""Centre for Excellence offers epilepsy program"",""Centre for Excellence offers headache and migraine program"",""Pain management program"",""Alzheimer’s and other dementias program"",""Tremor program"",""Centre for Excellence offers stroke treatment program"",""Specializes in neurology and neurophysiology"",""Spinal cord disorders program"",""Centre for Excellence offers cervical and lumbar spondylitis program"",""Centre for Excellence offers vertigo program"",""Centre for Excellence offers muscle disorders, myopathy and neuropathy program"",""Epilepsy treatment program"",""Associated Hospitals affiliations: Medanta Hospital Indore; Gokuldas Hospital; Vishesh Hospital; Greater Kailash Hospital"",""Led by Dr. Navin Tiwari, Neurologist (MBBS, MD, DM Neurology)"",""Centre for Excellence offers Parkinson’s disease and other movement disorders program"",""Muscle disorders, myopathy and neuropathy program"",""Director and consulting neurologist: Dr Navin Tiwari at Asian Neuro Centre Indore"",""Parkinson’s disease and movement disorders program"",""Outpatient neurology services"",""Neuroinfectious disorders program"",""Traumatic brain injury program"",""Centre for Excellence offers neuroinfectious disorder program"",""Centre for Excellence offers multiple sclerosis and other demyelinating disorder program"",""Stroke treatment program"",""Centre for Excellence offers traumatic brain injury program"",""Cervical and lumbar spondylitis program"",""Centre for Excellence offers Alzheimer’s disease and other dementias program"",""Centre for Excellence offers spinal cord disorders program"",""Centre for Excellence offers pain management program"",""Centre for Excellence offers tremor program"",""Director of Asian Neuro Centre, South Tukoganj""]",null,4,TRUE,TRUE,null,2025-12-10,4,null,null,null,22.71686935,75.87726593
Asian Obesity And Cosmetic Surgery Centre,"[""+917230077755""]",+917230077755,asianhospital.bariatric@gmail.com,"[""https://www.justdial.com/Jaipur/Asian-Obesity-And-Cosmetic-Surgery-Centre-Cental-Spine-Vidhyadhar-Nagar/0141PX141-X141-180102155037-D1G9_BZDET/photos"",""asianobesitycentre.com"",""https://www.facebook.com/810892045736447"",""https://www.indiamart.com/asian-obesity-cosmetic-surgery/sitenavigation.html"",""https://www.justdial.com/Jaipur/Asian-Obesity-And-Cosmetic-Surgery-Centre-Cental-Spine-Vidhyadhar-Nagar/0141PX141-X141-180102155037-D1G9_BZDET"",""https://www.facebook.com/asianobesity/"",""https://www.indiamart.com/asian-obesity-cosmetic-surgery/"",""http://www.asianobesitycentre.com/""]",asianobesitycentre.com,null,https://www.facebook.com/810892045736447,null,null,null,"Shekhawati Hospital, Cental Spine, Opposite Time Square",Vidhyadhar Nagar,null,Jaipur,Rajasthan,302039,India,IN,clinic,private,null,"Nursing Homes / Clinics / Hospitals of gastric bypass surgery, mini gastric bypass & knee joint replacement in Jaipur, Rajasthan.",null,null,"[""aestheticAndCosmeticSurgery"",""bariatricSurgery"",""familyMedicine"",""orthopedicSurgery"",""generalSurgery""]","[""Gastric bypass surgery (laparoscopic Roux-en-Y / BRYGB)"",""Single Incision Lap Sleeve Treatment"",""Mini Gastric Bypass"",""Knee Joint Replacement"",""Laparoscopic Cholecystectomy"",""Gastric Bypass Surgery"",""Specializes in GI surgery"",""Intra Gastric Balloon Treatment"",""Specializes in advanced laparoscopic surgery"",""Mini Gastric Bypass Treatment"",""Knee joint replacement (Total knee replacement)"",""Roux En Y Gastric Bypass Treatment"",""Specializes in bariatric surgery""]","[""Laparoscopic surgical equipment"",""Silastic ring (GaBP Ring) used in Roux-en-Y gastric bypass""]","[""Based in Jaipur, Rajasthan, India"",""Specializes in advanced laparoscopic GI surgery"",""Operates in Jaipur, Rajasthan"",""Offers bariatric surgery and knee joint replacement procedures"",""Dr. Surendra Jangid is a leading bariatric surgeon"",""Performs Knee Joint Replacement"",""Specializes in bariatric surgery"",""Offers bariatric surgeries including Gastric Bypass Surgery, Mini Gastric Bypass Treatment, Single Incision Lap Sleeve Treatment, Roux En Y Gastric Bypass Treatment"",""Performs Laparoscopic Cholecystectomy""]",null,5,TRUE,TRUE,null,2020-07-15,null,642,637,null,26.95975304,75.77752686
Asian Trauma & Critical Care,"[""+919004449997""]",+919004449997,asiantraumacare@gmail.com,"[""https://www.practo.com/rajkot/hospital/asian-trauma-care-hospital-anandpar-navagam/services"",""https://www.bajajfinservhealth.in/hospitals/rajkot/asian-trauma-care-hospital-kalawad-road/reviews"",""https://www.mappls.com/place-asian+trauma+&+critical+care-shri+jai+maral+parmar+road-nalanda+society-rajkot-gujarat-360001-6S6QYA@zdata=MjIuMjg3ODAzKzcwLjc3NjE5OCsxNys2UzZRWUErK25yed"",""https://rajkot.infoisinfo.co.in/card/asian_trauma_care_hospital/3599474"",""https://www.facebook.com/111265001362314"",""asiantraumacare.com""]",asiantraumacare.com,null,https://www.facebook.com/111265001362314,null,null,null,Jaymal Parmar Marg,"Nr. Holy Saint School, Kalawad Road",Near Holy Saints School,Rajkot,Gujarat,360001,India,IN,hospital,null,null,"Facebook page lists Asian Trauma & Critical Care as a hospital located at Jaymal Parmar marg, Nr. Holy Saint School, Kalawad Road, Rajkot, Gujarat, India.",null,null,"[""orthopedicSurgery"",""criticalCareMedicine"",""neurology"",""internalMedicine""]",[],[],"[""Located in Rajkot, Gujarat"",""Offers orthopaedic services"",""Offers neurology services""]",null,5,FALSE,TRUE,null,null,0,0,0,0,22.28783226,70.77624512
Asif Memorial Health Care,"[""+919906811405"",""+918082338953""]",+918082338953,helpdesk@asifmemorialhealthcare.com,"[""https://www.justdial.com/Kupwara/Hospitals-in-Gopalpora/nct-10253670"",""https://asifmemorialhealthcare.com/"",""https://www.facebook.com/264729153972878"",""https://www.justdial.com/Baramulla/Cardiologists/nct-10080172"",""https://www.facebook.com/103376408211763"",""http://www.asifmemorialhealthcare.com/"",""asifmemorialhealthcare.com"",""https://www.justdial.com/Kupwara/Hospitals-in-Langate/nct-10253670""]",asifmemorialhealthcare.com,2015,https://www.facebook.com/264729153972878,null,null,null,Banday Mohallah Handwara,Banday Mohallah,null,Handwara,Kupwara,193221,India,IN,hospital,private,null,"Asif Memorial Healthcare is a renowned healthcare institution dedicated to providing comprehensive medical services to its community. Established in 2015, Asif Memorial Healthcare has built a strong reputation for delivering high-quality healthcare services with a focus on patient-centered care, cutting-edge technology, and medical excellence",null,null,"[""radiology"",""orthopedics"",""familyMedicine"",""cardiology"",""gastroenterology"",""otolaryngology"",""internalMedicine"",""diabetology"",""medicine"",""pathology""]","[""Treadmill Test (TMT)"",""Echocardiography (Echo)"",""Radiology imaging services"",""No specific clinical procedures listed in the provided content for Asif Memorial Health Care"",""24-hour ambulatory blood pressure monitoring (ABPM)"",""Performs Holter monitoring"",""ECG testing"",""On-site diagnostic pathology testing"",""Performs 2D echocardiography (2D Echo)"",""24/48 hour Holter monitoring""]","[""No imaging or medical devices listed for Asif Memorial Health Care in the provided content"",""Glucometer displaying 120 mg/dL"",""Laboratory instrument labeled X-2000"",""AMRL Labs signage visible on the facility exterior""]","[""Founded in 2015"",""Departments: Diabetology, Cardiology, Radiology, Gastroenterology, Orthopedics, Medicine, ENT"",""Dr Rayees Ul Hamid Wani (MBBS, MD Medicine, SKIMS Soura) is listed as a doctor at Asif Memorial Health Care"",""ISO certified health care in Jammu and Kashmir"",""Offers diagnostic services through a diagnostics centre"",""Offers advanced cardiac services"",""Operates in Kupwara, Kashmir"",""Handwara, Kupwara location"",""Has a Department of General Medicine at Asif Memorial Health Care"",""Cardiac health check-up program"",""Awarded with state and national level recognitions"",""Has an official website at asifmemorialhealthcare.com"",""Provides on-site diagnostic laboratory and radiology services""]",null,4,TRUE,TRUE,2,null,null,2200,1600,null,34.39645767,74.28295898
Asli Ayurved Clinic,"[""+917990743268""]",null,null,"[""http://ojasayurved.in/"",""https://www.mappls.com/place-asli+ayurved+clinic-srinivas+complex-sumul+dairy+road-patel+nagar-surat-gujarat-395004-44B7BY@zdata=MjEuMjEzNDI0KzcyLjgzOTg1NysxNys0NEI3QlkrKw==ed""]",http://ojasayurved.in/,null,https://www.facebook.com/111277861839432,null,null,null,"Srinivas Complex, Sumul Dairy Road",Patel Nagar,null,Surat,Gujarat,395004,India,IN,clinic,null,null,null,null,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,21.2134552,72.83996582
ASM Super Speciality Hospital Sedam Road Gulbarga,"[""+919739030000""]",+919739030000,asmsuperspecialityhospitals@gmail.com,"[""http://www.asmhospitals.com/"",""asmhospitals.com"",""https://www.facebook.com/101782048569027"",""https://www.justdial.com/Gulbarga/Asm-Super-Speciality-Hospital-Sedam-Road/9999P8472-8472-230806172634-W3N6_BZDET""]",asmhospitals.com,null,https://www.facebook.com/101782048569027,null,null,null,Sedam Road,null,null,Gulbarga,Karnataka,585105,India,IN,hospital,null,null,A Super speciality Surgical centre for Accident - Trauma & Critical Ca,null,null,"[""generalSurgery"",""criticalCareMedicine"",""internalMedicine""]",[],[],"[""Super speciality surgical centre for Accident - Trauma & Critical Ca""]",null,1,FALSE,TRUE,6,2024-07-12,0,211,null,null,17.32775497,76.85095215
Asmara Clinic,"[""+918978448082""]",+918978448082,asmaraclinic@gmail.com,"[""asmara8591556efeal.com"",""asmaraclinic.com"",""https://asmaraclinic.com/"",""https://d7leadfinder.com/app/view-leads/30526613/"",""https://www.facebook.com/610280202429828""]",asmara8591556efeal.com,null,https://www.facebook.com/610280202429828,null,null,null,No.8-3-224/6,"3rd Floor, Beside Ratnadeep Super Market",null,Hyderabad,Telangana,500045,India,IN,hospital,private,null,"Offers acne scar treatments including laser therapy, chemical peels, and microneedling.",null,null,"[""pediatrics"",""familyMedicine"",""proceduralDermatology"",""internalMedicine""]","[""Laser therapy for acne scar removal"",""Chemical peels for acne scar removal"",""Microneedling for acne scar removal""]","[""Laser therapy equipment""]","[""Outpatient dermatology and cosmetic skin care clinic"",""Hospital"",""Offers acne scar removal treatments using laser therapy, chemical peels, and microneedling"",""Provides consultations for skin concerns""]",null,1,FALSE,FALSE,null,null,null,792,792,null,17.42890167,78.42990112
Asmi Ayurveda and Panchkarma Clinic,"[""+918261029955""]",+918261029955,asmiayurvedclinic@gmail.com,"[""https://www.facebook.com/110034055081768""]",null,null,https://www.facebook.com/110034055081768,null,null,null,Station Road,"First Floor, Shantai City Center",null,Talegaon Dabhade,Maharashtra,410506,India,IN,clinic,null,null,Authentic Ayurveda and Panchkarma treatment for various diseases by the hands of MD Ayurveda doctor with great experience. Ayurveda cosmetic products designed and prepared by the doctor are also available.,null,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,18.72790146,73.6787262
"ASP CLINIC, Kuppakonanpudur","[""+919487545640"",""+914222673009""]",+914222673009,null,"[""https://www.facebook.com/1125140074256723"",""https://www.practo.com/coimbatore/clinic/asp-clinic-kuppakonanpudur""]",null,null,https://www.facebook.com/1125140074256723,null,null,null,"122f, Sarada Mill Rd","Opp. Arasan Cinemas, Podanur",Kuppakonanpudur,Coimbatore,Tamil Nadu,641023,India,IN,clinic,null,null,"ASP CLINIC is a Clinic in Kuppakonanpudur, Coimbatore.",null,null,"[""familyMedicine""]",[],[],"[""Asp Clinic is listed as a Medical Center on Facebook"",""Facebook page created on April 12, 2017"",""Facebook page for Asp Clinic is marked as an Unofficial Page""]",null,null,null,null,null,null,null,null,null,null,10.95970345,76.98075867
ASP Physio Clinic,"[""+919941424372""]",+919941424372,bharathphysio2012@gmail.com,"[""http://www.aspphysioclinic.com/"",""https://www.facebook.com/523909874287406"",""https://www.practo.com/chennai/clinic/asp-physio-clinic-physiotherapy-and-osteopathy-clinic-ayappakkam"",""https://www.facebook.com/p/A-S-P-Physio-clinic-100064148828654/"",""aspphysioclinic.com"",""https://www.indiamart.com/asp-physio-clinic/"",""https://www.justdial.com/Chennai/Asp-Physio-Clinic-Above-Nilgris-Supermarket-Nnj-Hall-Ayapakkam/044PXX44-XX44-171213175320-P5W5_BZDET""]",aspphysioclinic.com,null,https://www.facebook.com/523909874287406,null,null,null,"No 6, West Park Street","Ambattur, Venkatapuram Near Girls Higher Sec School",null,Chennai,Tamil Nadu,600053,India,IN,clinic,private,null,"ASP Physio Clinic provides you the best range of spondylolisthesis treatment, yoga therapy course, exercises therapy & pediatric conditions with effective & timely delivery.",null,null,"[""familyMedicine"",""physicalMedicineAndRehabilitation"",""pediatricRehabilitationMedicine""]","[""Offers acupuncture treatments as part of physiotherapy services"",""Spondylolisthesis treatment offered"",""Performs acupuncture treatments."",""Provides physiotherapy using advanced modalities and manual therapy techniques."",""Offers free physiotherapy treatment on Sundays."",""Exercises therapy offered"",""Pediatric conditions treated"",""Yoga therapy course offered""]",[],"[""Physiotherapy and osteopathy clinic"",""Utilizes advanced physiotherapy modalities and manual therapy techniques in patient care."",""Has 10 years of operation"",""Located in Ayapakkam, Chennai, Tamil Nadu"",""Operates as an outpatient physiotherapy clinic"",""Outpatient physiotherapy clinic located in Ambattur and Ayapakkam, Chennai, Tamil Nadu, India."",""Located in Ambattur and Ayapakkam, Chennai, Tamil Nadu, India"",""Offers pediatric physiotherapy program"",""Outpatient physiotherapy clinic"",""Has 8 years in healthcare"",""Clinic located in Ayappakkam, Chennai"",""Uses advanced physiotherapy modalities and latest manual techniques""]",null,3,TRUE,FALSE,null,2024-07-05,null,128,null,null,13.11879349,80.1543045
Aspel Medicity,"[""+918943888111""]",+918943888111,hrmaspel@gmail.com,"[""http://www.aspelhospitals.com/"",""https://www.facebook.com/p/Aspel-Medicity-100063716963207/"",""https://www.facebook.com/929307487260005"",""aspelhospitals.com""]",aspelhospitals.com,null,https://www.facebook.com/929307487260005,null,null,null,"Veliancode, Malappuram District, Kerala",null,null,Veliancode,Kerala,679579,India,IN,hospital,null,null,"24/7 casualty, pharmacy & Lab, home care",null,null,"[""internalMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,10.73222446,75.94561768
ASPEN Clinic,"[""+917249313921""]",+917249313921,null,"[""http://www.aspenclinicpune.com/""]",http://www.aspenclinicpune.com/,null,https://www.facebook.com/100242848118843,null,null,null,Natasha Enclave C 1 Building,Nibm Post Office Rd,null,Pune,Maharashtra,411048,India,IN,clinic,null,null,"Aspen Clinic is committed to offering advanced surgical treatments, including general surgery, cosmetic surgeries and treatments, surgical lasers, laparoscopic surgeries, and coloproctology treatments. Our founder, Dr. Hina Khan, is a General Surgeon (M.S) and Aesthetic Physician. A Certified Fellow from the American Academy in Aesthetic Medicine (AAAM). Combining knowledge in Medical Aesthetics with the latest in Surgery at Aspen Clinic on NIBM Road, we provide a plethora of cutting-edge surgical treatments, laser treatments, advanced wound care, and cosmetic treatments for the face, skin, and body. We also offer the latest cosmetic peels for skin glow and pigments removal, melasma treatment, acne, and acne scar treatment. Our services extend to Carbon Laser Facial Treatment, Face Thread Lift for face, double chin reduction treatment, PRP (Platelet-Rich Plasma) treatment for face and hair, GFC (Growth Factor Concentration) treatment for face and hair, Botox and fillers, Hyaluronic Acid Skin Booster for face and body, and laser hair reduction. Additionally, we specialize in cosmetic surgeries such as earlobe repair treatment, scar revision treatment, subcision treatment for acne scarring on the face, breast augmentation, areola reduction, axillary breast tail treatment, and keloid treatment. At Aspen Clinic, we strive to provide comprehensive and top-notch care for all your surgical and aesthetic needs.",null,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,null,null,null,null,18.47706604,73.89694214
Aspen Dental - M3M Tee Point (Sector 65),"[""+918595300447"",""+919667775530""]",+919667775530,hi@aspendentals.com,"[""aspendentals.com"",""https://www.facebook.com/407750566682717/"",""http://www.aspendentals.com/"",""https://www.smilesbydrravneet.com/dr-ravneet-kaur"",""https://www.facebook.com/407750566682717"",""http://www.smilesbydrravneet.com/"",""https://in.linkedin.com/company/aspendental"",""https://www.aspendentals.com/about-clinic""]",aspendentals.com,2019,https://www.facebook.com/407750566682717,null,null,null,"118-119, First Floor, Tower-2, M3m Tee Point",Sector 65,Sector 53,Gurugram,Haryana,122102,India,IN,dentist,private,null,"As a tri-specialty practice in pediatric dentistry, orthodontics, and adult care, Aspen Dental is a leading dental clinic in Gurgaon, offering pediatric dentistry, orthodontics, and adult care.",null,null,"[""familyMedicine"",""orthodontics"",""cosmeticDentistry"",""periodontics"",""pediatricDentistry"",""pedodontics"",""smiledesign"",""dentistry"",""aestheticDentistry""]","[""Invisalign clear-aligner therapy with 3-D Smile Preview using iTero digital scans"",""Offers veneers and teeth whitening as part of cosmetic dentistry"",""Root Canal Treatment"",""Root planing (deep cleaning)"",""Provides Invisalign clear-aligner therapy with 3-D Smile Preview at Sector 53 and Sector 65 clinics in Gurgaon"",""Dental crowns"",""Dental implants"",""Periodontal surgery"",""Invisalign Braces"",""Ceramic braces"",""Performs preventive dental care, restorative procedures, and cosmetic dentistry"",""Offers a complimentary Invisalign consultation"",""Gum Contouring"",""Veneers placement"",""Ceramic Braces"",""Oral Prophylaxis"",""Fluoride treatment"",""Pit and Fissure Sealants"",""Oral prophylaxis (scaling and polishing)"",""Invisalign braces"",""Dental implant placement"",""Periodontal Surgery"",""Dental fillings"",""Teeth Whitening"",""Damon self-ligating fast braces"",""Invisible braces"",""Orthodontic braces"",""Dental bonding"",""Damon Self-Ligating Fast Braces"",""Pulpectomy"",""Preventive pediatric dentistry"",""Dental Bridge"",""Dental Implants"",""Space Maintainer"",""Lingual Braces"",""Veneers"",""Lingual braces"",""Dentures"",""Dental bridges"",""Denture"",""Root Planing"",""Dental Crown"",""Root canal treatment"",""Dental Fillings"",""Metal braces"",""Dental Bonding"",""Invisible Braces"",""Offers braces and other orthodontic services"",""Gum contouring"",""Fluoride Treatment"",""Preventive Pediatric Dentistry"",""Metal Braces"",""Sealants"",""Extractions"",""Teeth whitening"",""Smile design and cosmetic dentistry treatment planning"",""Performs Invisalign orthodontic treatment""]","[""iTero digital intraoral scanner"",""iTero 3-D scanner"",""Uses iTero digital scanning system for Invisalign (no traditional impressions)"",""Digital iTero 3-D scanner""]","[""Led by orthodontists with about a decade of experience in Invisalign/aligner therapy"",""Has 2 premium locations"",""Founded in 2019"",""10 expert specialists on staff"",""Tri-specialty dental clinic offering pediatric dentistry, orthodontics, and adult care"",""Specializes in Orthodontics, Pedodontics, Periodontics, Braces, Implants, Smile Design, and Cosmetic Dentistry"",""Offers Invisalign braces and dental implants"",""Staff includes Dr Abhinav Kathuria, Dr Sameena Raza, Anika Kulshrestha, and Dr Vishruti Trisal"",""Headquartered in Gurugram, Haryana"",""Has two clinics in Sector 53 and Sector 65, Gurgaon, Haryana, India"",""Has a team of highly qualified specialists"",""Award-winning dental practice recognized as a leading clinic in India"",""Award-winning dental practice"",""Specializes in Pedodontics, Orthodontics, Periodontics, Kids Dentistry, Braces, Implants, Smile design, and cosmetic dentistry"",""First tri-specialty dental clinic in Gurgaon offering pediatric dentistry, orthodontics, and adult care"",""Maintains strict sterilization protocols and infection control measures"",""Outpatient dental clinic"",""Operates with a staff of 2-10 employees"",""Provides dentistry services for families"",""First tri-specialty dental clinic in Gurgaon"",""21 years of combined experience"",""Uses digital iTero 3-D scanning for priority consultations"",""Locations at Gurgaon Sector 53 and Sector 65"",""Led by orthodontists with a decade of aligner expertise"",""Operates two clinics in Gurugram: Golf Course Road, Sector 53, and Sector 65"",""Founded in 2019; privately held""]",null,2,TRUE,TRUE,null,null,null,333,null,null,28.42508125,77.10565186
Asperia Cosmetic Clinic - Daffodil CHS C-102 Hiranandani Gardens Powai,"[""+918689937887""]",+918689937887,asperiaclinic@gmail.com,"[""asperiacosmohealth.com"",""https://asperiacosmohealth.com/"",""https://antidote.fit/clinic/view/asperia--10-1750465738"",""https://www.justdial.com/Mumbai/Asperia-Cosmetic-Clinic/022PXX22-XX22-220930203506-J7D9_BZDET"",""https://www.instagram.com/reel/CseBJ-lBorD/"",""https://www.facebook.com/asperiaclinic/"",""https://in.linkedin.com/in/asperia-cosmetic-clinic-31469a30a"",""https://www.practo.com/mumbai/hospital/asperia-cosmetic-clinic-hair-transplant-center-powai/services"",""https://www.facebook.com/101610368660382""]",asperiacosmohealth.com,null,https://www.facebook.com/101610368660382,null,null,null,Daffodil Chs,"C-102, Hiranandani Gardens",Hiranandani Gardens,Powai,Maharashtra,400076,India,IN,clinic,private,null,"ASPERIA COSMETIC CLINIC & HAIR TRANSPLANT CENTER is a Hospital in Powai, Mumbai.",null,null,"[""urology"",""proceduralDermatology"",""otolaryngology"",""gastroenterology"",""internalMedicine"",""familyPlanningAndComplexContraception"",""reproductiveEndocrinologyAndInfertility"",""dermatology"",""gynecologyAndObstetrics"",""plasticSurgery"",""cataractAndAnteriorSegmentSurgery"",""medicalOncology"",""cosmeticDermatology"",""aestheticAndCosmeticSurgery"",""preventiveMedicine"",""radiology"",""familyMedicine"",""pulmonology"",""generalSurgery"",""interventionalRadiology""]","[""Laser hair removal service"",""Provides Carbon Laser Facial"",""Full body laser hair reduction"",""Provides Hydrafacial treatment"",""Hair transplant procedure"",""PRP treatment"",""PRP facial""]",[],"[""Cosmetic clinic offering hair transplant services"",""Offers laser hair removal services"",""Offers weight loss services"",""Cosmetic clinic and hair transplant services"",""Specializes in plastic surgery"",""Specializes in hair transplantation"",""Offers wellness programs"",""Provides skin and hair solutions as part of cosmetic care"",""Hospital located in Powai, Mumbai"",""Specializes in cosmetic surgery""]",2024-12-23,5,TRUE,TRUE,null,2024-12-23,null,302,null,null,19.11477661,72.90614319
Aspire Childrens Speciality Centre,"[""+918848003009""]",+918848003009,info@aspirechildrens.com,"[""https://www.justdial.com/Kozhikode/Aspire-Childrens-Speciality-Centre-Eranhipalam/0495PX495-X495-231108101216-T8A7_BZDET"",""http://aspirechildrens.com/"",""https://www.facebook.com/114115355099884"",""aspirechildrens.com""]",aspirechildrens.com,null,https://www.facebook.com/114115355099884,null,null,null,"2nd Floor, Vee Pee Space",Wayanad Road,null,Eranhipalam,Kerala,673006,India,IN,clinic,private,null,"Aspire Children's Specialty Center provides womb to teen pediatric care with 22 pediatric departments, including Fetal Medicine, Neonatology, Pediatrics, Cardiology, Gastroenterology and Hepatology, Neurology, Nephrology, Allergy & Asthma, Endocrinology, ENT, Dentistry, Ophthalmology and ROP Screening, High-risk Pediatrics, Orthopedics, Surgery & Urology, Dermatology, Psychology & Counseling, Adolescent Health, Medical Nutrition, Medical Genetics, Developmental Paediatrics, and Audiology and Speech Therapy.",null,null,"[""maternalFetalMedicineOrPerinatology"",""nephrology"",""pediatricAllergyAndImmunology"",""otolaryngology"",""audiologyAndSpeechTherapy"",""endocrinologyAndDiabetesAndMetabolism"",""pediatrics"",""dermatology"",""neurology"",""pediatricCriticalCareMedicine"",""neonatologyPerinatalMedicine"",""cardiology"",""adolescentHealth"",""medicalNutrition"",""ophthalmology"",""familyMedicine"",""developmental–behavioralPediatrics"",""pediatricGastroenterology"",""orthopedicSurgery"",""generalSurgery"",""dentistry""]",[],[],"[""Has 22 dedicated pediatric departments"",""Offers vaccination packages"",""Paediatricians are available from 8 am to 8 pm"",""Provides pediatric care from womb to teens"",""All paediatric specialists are under one roof"",""Womb to teen solutions are offered by Aspire Children's Specialty Center"",""Specialties include Fetal Medicine, Neonatology, Paediatrics, Cardiology, Gastroenterology and Hepatology, Neurology, Nephrology, Allergy & Asthma, Endocrinology, ENT, Dentistry, Ophthalmology and ROP Screening, High-risk Paediatrics, Orthopedics, Surgery & Urology, Dermatology, Psychology & Counseling, Adolescent Health, Medical Nutrition, Developmental Paediatrics, and Audiology and Speech Therapy""]",null,3,TRUE,TRUE,null,null,null,840,504,0,11.28026962,75.78622437
